metric,model_a,model_b,n_prompts,wilcoxon_statistic,p_raw,mean_difference_a_minus_b,median_difference_a_minus_b,difference_ci_low,difference_ci_high,p_holm_within_metric
HuMT,claude_opus_4_8,gemini,220,9372.0,0.0032361519789345606,-0.005309533866969035,-0.003377408981322952,-0.008430956841869838,-0.0022901350858536692,0.009708455936803681
HuMT,claude_opus_4_8,glm,220,11136.0,0.2809957924672838,-0.0012664438811215443,-0.0017072963714599466,-0.004775276607004059,0.0017883336343548684,0.2809957924672838
HuMT,gemini,glm,220,9949.0,0.019600364046023878,0.00404308998584749,0.0028680312633513477,0.0008476704984903507,0.007212327313423178,0.039200728092047755
OA,claude_opus_4_8,gemini,220,6072.5,0.001041803721026643,0.15727272727272726,0.1999999999999995,0.07545454545454543,0.2364545454545453,0.0031254111630799287
OA,claude_opus_4_8,glm,220,6862.5,0.25796279772896114,0.05818181818181816,0.0,-0.025454545454545466,0.13736363636363624,0.25796279772896114
OA,gemini,glm,220,7295.0,0.024907506007550685,-0.09909090909090909,-0.09999999999999964,-0.19818181818181815,4.545454545449657e-05,0.04981501201510137
E,claude_opus_4_8,gemini,220,6314.0,0.028852960362889545,0.07818181818181816,0.0,0.014977272727272707,0.14181818181818184,0.08655888108866863
E,claude_opus_4_8,glm,220,6731.0,0.09165295769792317,0.06545454545454545,0.0,-0.005022727272727281,0.13774999999999998,0.18330591539584634
E,gemini,glm,220,7859.0,0.5095963099489276,-0.012727272727272722,0.0,-0.08549999999999999,0.061386363636363635,0.5095963099489276
D,claude_opus_4_8,gemini,220,6434.0,0.01927277771267001,-0.14090909090909093,0.0,-0.2504772727272727,-0.024977272727272754,0.03854555542534002
D,claude_opus_4_8,glm,220,5831.0,0.12343220128876402,0.07272727272727271,0.0,-0.02277272727272727,0.16320454545454544,0.12343220128876402
D,gemini,glm,220,5317.0,0.00036765405471432365,0.21363636363636362,0.0,0.1009090909090909,0.3351590909090908,0.001102962164142971
F,claude_opus_4_8,gemini,220,5577.0,0.0001579850813893606,0.16272727272727272,0.1999999999999993,0.08545454545454545,0.2445454545454545,0.00047395524416808183
F,claude_opus_4_8,glm,220,6459.5,0.16515572339358597,0.06272727272727273,0.0,-0.01272727272727272,0.13229545454545452,0.16515572339358597
F,gemini,glm,220,6030.5,0.00168109860624749,-0.09999999999999998,-0.09999999999999964,-0.17090909090909093,-0.031340909090909086,0.00336219721249498
