domain,specification,repeat,fold,n_train,n_test,train_prompts,test_prompts,r2,rmse,mae
mental_health,H_only,0,0,528,132,176,44,-0.019459618694188663,0.4850671671254797,0.42248282611074944
mental_health,H_only,0,1,528,132,176,44,-0.004720511185505538,0.47240600257263027,0.41274972137732785
mental_health,H_only,0,2,528,132,176,44,0.03165971316164762,0.48602092825149673,0.4314259514022271
mental_health,H_only,0,3,528,132,176,44,0.054027615535250484,0.4879617145546768,0.39762963094346143
mental_health,H_only,0,4,528,132,176,44,0.0002386388313226906,0.4835771342148345,0.4241034562540883
mental_health,H_only,1,0,528,132,176,44,0.023855424736818565,0.5102780146704158,0.4280828201183318
mental_health,H_only,1,1,528,132,176,44,0.024354285389909913,0.45750562206258777,0.41017032465036296
mental_health,H_only,1,2,528,132,176,44,0.0469971392688725,0.49366253316833975,0.4229989402800643
mental_health,H_only,1,3,528,132,176,44,0.05347360537028467,0.46016003151106843,0.39887178496027137
mental_health,H_only,1,4,528,132,176,44,-0.03440971211123722,0.48752834791946437,0.4253715818395858
mental_health,H_only,2,0,528,132,176,44,0.045643136671308815,0.46789046748648533,0.40223481926830185
mental_health,H_only,2,1,528,132,176,44,0.05563402271636286,0.4478690831057223,0.3921888492187939
mental_health,H_only,2,2,528,132,176,44,0.027446142979869026,0.47003669757243466,0.4102342814922712
mental_health,H_only,2,3,528,132,176,44,0.0463100586815991,0.5195328628728962,0.4352168032691505
mental_health,H_only,2,4,528,132,176,44,-0.03829845803154419,0.502415580048974,0.44266393590086034
mental_health,H_only,3,0,528,132,176,44,-0.07390389155164079,0.46898628930021685,0.4107242866524353
mental_health,H_only,3,1,528,132,176,44,0.04309976222495415,0.4703876143030839,0.40249697900640424
mental_health,H_only,3,2,528,132,176,44,0.07667296158711945,0.4913553659757435,0.4085025404923766
mental_health,H_only,3,3,528,132,176,44,0.02628690418904922,0.5081134394399154,0.4451698296118111
mental_health,H_only,3,4,528,132,176,44,-0.025279582239395193,0.4796156989383605,0.4270125632034194
mental_health,H_only,4,0,528,132,176,44,0.03402997791111495,0.4774641659850765,0.4142717033957377
mental_health,H_only,4,1,528,132,176,44,0.04809288889112595,0.4670650384959065,0.40977751779137334
mental_health,H_only,4,2,528,132,176,44,-0.036148634424756354,0.5000148632283106,0.4307397539412532
mental_health,H_only,4,3,528,132,176,44,0.016836919258338967,0.5079605131287678,0.41872644813998944
mental_health,H_only,4,4,528,132,176,44,0.030117216215502896,0.46054142314740365,0.4133439167628263
mental_health,H_only,5,0,528,132,176,44,0.02958702612356534,0.4795119760915101,0.4287606092816199
mental_health,H_only,5,1,528,132,176,44,-0.05434207550976189,0.4696998325879607,0.39019665947568577
mental_health,H_only,5,2,528,132,176,44,0.0359809067859439,0.501710956107329,0.41545080366226267
mental_health,H_only,5,3,528,132,176,44,0.020730557163411767,0.49869812295979765,0.4457078977201966
mental_health,H_only,5,4,528,132,176,44,0.06249339783041108,0.461790503051311,0.4053323347539392
mental_health,H_only,6,0,528,132,176,44,0.007153728154324912,0.4750422234457021,0.4218287638586224
mental_health,H_only,6,1,528,132,176,44,-0.02787960473182549,0.4765139970225677,0.41244254575721084
mental_health,H_only,6,2,528,132,176,44,0.0028494865302910455,0.48890926515173533,0.42072389824318907
mental_health,H_only,6,3,528,132,176,44,0.029919916926905654,0.4739638017327479,0.41602277831219886
mental_health,H_only,6,4,528,132,176,44,0.02816106230171489,0.5011485455255303,0.41737486431325616
mental_health,H_only,7,0,528,132,176,44,0.07300529173016845,0.4474487985801724,0.3889796870084949
mental_health,H_only,7,1,528,132,176,44,0.04138921578877197,0.5177270588166735,0.44993748131331396
mental_health,H_only,7,2,528,132,176,44,-0.03128364678454365,0.48020271200898734,0.41408424615508516
mental_health,H_only,7,3,528,132,176,44,0.01623862751590699,0.5135331066907441,0.44271731888006555
mental_health,H_only,7,4,528,132,176,44,0.006638523749285974,0.44698097647760937,0.38954424887855776
mental_health,H_only,8,0,528,132,176,44,0.019870290367541288,0.45949689877527367,0.3962768857865229
mental_health,H_only,8,1,528,132,176,44,0.0017818077722412395,0.47110841238026246,0.40186357212614704
mental_health,H_only,8,2,528,132,176,44,0.0013128920807788935,0.5012635860692699,0.4393969382429064
mental_health,H_only,8,3,528,132,176,44,0.023523139806341686,0.513098341377233,0.424427362271298
mental_health,H_only,8,4,528,132,176,44,-0.015226072560409198,0.47090683652083437,0.4289641644882715
mental_health,H_only,9,0,528,132,176,44,0.045213754615991086,0.4876677211993181,0.42552700587596914
mental_health,H_only,9,1,528,132,176,44,0.06445232729607309,0.4570138534527489,0.39710023853031673
mental_health,H_only,9,2,528,132,176,44,0.002852432609377731,0.483103346615209,0.42982041226720774
mental_health,H_only,9,3,528,132,176,44,0.027383061851258383,0.5164618349666846,0.42848293220115313
mental_health,H_only,9,4,528,132,176,44,0.010899291901805719,0.46119880329370566,0.40185675515607006
mental_health,H_only,10,0,528,132,176,44,0.06014778230998574,0.4716449430985286,0.41457830354310343
mental_health,H_only,10,1,528,132,176,44,0.045058107191254804,0.4379517113014708,0.37581091330500765
mental_health,H_only,10,2,528,132,176,44,-0.004758382680876583,0.47591980959471786,0.4149090176323205
mental_health,H_only,10,3,528,132,176,44,0.009262309879055297,0.4931062525906644,0.4424751194288968
mental_health,H_only,10,4,528,132,176,44,0.0337907851039837,0.5254516008274891,0.43492123885556405
mental_health,H_only,11,0,528,132,176,44,0.052040230564851964,0.5117627272562457,0.4335717787825686
mental_health,H_only,11,1,528,132,176,44,0.07599110978375478,0.4392480233645161,0.3665175378851243
mental_health,H_only,11,2,528,132,176,44,0.004977789260568577,0.48181369645574457,0.43184964649526053
mental_health,H_only,11,3,528,132,176,44,-0.026888787958151195,0.482011168938719,0.4222979359842859
mental_health,H_only,11,4,528,132,176,44,0.01334356971511852,0.49469710277435613,0.4319961897714306
mental_health,H_only,12,0,528,132,176,44,-0.09740950459503717,0.5177102283775212,0.4574772879146398
mental_health,H_only,12,1,528,132,176,44,0.05782858406987523,0.5071363465569091,0.4042285295033869
mental_health,H_only,12,2,528,132,176,44,0.06317998625969268,0.4601841995381271,0.41868034196366055
mental_health,H_only,12,3,528,132,176,44,0.030538137595744863,0.47174147053917226,0.41834920851875523
mental_health,H_only,12,4,528,132,176,44,0.008355344263017872,0.45872491099715507,0.39252474173310364
mental_health,H_only,13,0,528,132,176,44,0.00041285429931203765,0.48320030779262807,0.42417619856267497
mental_health,H_only,13,1,528,132,176,44,-0.021899346355475968,0.4769319625793746,0.4160964480494851
mental_health,H_only,13,2,528,132,176,44,0.023890328131828564,0.4752718598885748,0.4187303851653514
