domain,specification,predictors,n,n_prompt_groups,cv_r2_mean,cv_r2_sd_across_repeats,cv_r2_boot_ci_low,cv_r2_boot_ci_high,cv_rmse,cv_mae,cv_spearman,cv_pearson,in_sample_r2,in_sample_adj_r2,fold_r2_min,fold_r2_max
mental_health,H_only,H,660,220,0.026175065388573816,0.002883841503160697,-0.005363092884152948,0.0548503428391721,0.4827255205562473,0.4174424536244781,0.15170036576586074,0.16351449413374064,0.033690113492463314,0.03222155743394117,-0.09740950459503717,0.07712311931772708
mental_health,E_only,E,660,220,0.011800890647696533,0.0032691780868446857,-0.008674109125785683,0.030626853672843936,0.4862749876607002,0.42599505049119574,0.06354214681900494,0.11205614926713633,0.018608738621730514,0.017117262540608524,-0.08617821748373133,0.046335090634884835
mental_health,D_only,D,660,220,0.03473222477086527,0.003832524366564237,0.0001972774405434227,0.06540330769627001,0.4805995491656079,0.4173693487530471,0.1441836501281015,0.18740672318339596,0.04129260442786953,0.03983560230693928,-0.08588634579651733,0.0767731871957189
mental_health,F_only,F,660,220,0.6508016419075358,0.001974857879471091,0.5824803145616113,0.7043822015361988,0.28906447141037334,0.22028808843678535,0.6732402600082532,0.8067303488565525,0.6542901760102525,0.6537647811409673,0.49601366122665325,0.7635117546012682
mental_health,H+E,H+E,660,220,0.05725938036339266,0.0036367008479790274,0.0190713649922452,0.09455680595141416,0.47495843956403005,0.40792384842102114,0.19425596421176952,0.24031552930309297,0.06722519965168117,0.06438570254255382,-0.08426561322532966,0.13497452021871348
mental_health,H+D,H+D,660,220,0.04787089283224848,0.004207907452027102,0.007682734951296239,0.08769597867610229,0.4773173063281715,0.41162902029517145,0.18425796674367692,0.22031062109762503,0.058213043344384596,0.05534611196948169,-0.07696643942311199,0.10079716584080167
mental_health,H+F,H+F,660,220,0.6511634998400062,0.002098546524414693,0.5833001875426407,0.7066327930144018,0.28891451549965835,0.2207418297979237,0.6735833123446714,0.8069578794373552,0.6557511561383105,0.654703214452278,0.4945769305177252,0.7639029785825666
mental_health,H+E+D,H+E+D,660,220,0.11387328898819855,0.005294545310740582,0.06332321324672147,0.16486010868933365,0.46047530083513283,0.3932898736489589,0.2748537074465085,0.33812965384601734,0.12655578458846617,0.12256137506676712,-0.08196236643715915,0.21738967676905907
mental_health,H+E+F,H+E+F,660,220,0.6551715492257232,0.0026346581456185535,0.5894810212324179,0.708975343877048,0.28724918740700156,0.22137987904803785,0.6857867694353849,0.8094553734455745,0.6617824383639028,0.6602357117100792,0.5107404024549846,0.7688524801975051
mental_health,H+D+F,H+D+F,660,220,0.6509587782743192,0.002192654824076394,0.5832711806516868,0.7067313480921924,0.288999169323017,0.22077596680177117,0.6739821109198185,0.8068366840919087,0.6566471785129425,0.6550769674390688,0.49208336126352614,0.7625535240953076
mental_health,E+D+F,E+D+F,660,220,0.6576850249021167,0.002505234775245964,0.5957101700422829,0.7107341103442726,0.28620054761963076,0.21991912624349919,0.6921202623582584,0.8110107394762098,0.6644293176740774,0.6628946956512454,0.513669697678051,0.7665367756057189
mental_health,H+E+D+F,H+E+D+F,660,220,0.658537272733825,0.002682422257138558,0.5964352444681705,0.7112869336979828,0.28584377819092965,0.22030345472030874,0.6898425042068989,0.8115420543224341,0.6663306881745064,0.6642930129877858,0.5151398770747329,0.7679289229474829
education,H_only,H,447,149,0.08749619133425546,0.021131857760887978,-0.05379815386504441,0.2027641159237151,0.5365806169055021,0.35745454802968085,0.018886154460692778,0.29503211808797586,0.11508856406257573,0.11309999903799728,-0.46459796353023686,0.36690245651058817
education,E_only,E,447,149,-0.018635909244650396,0.010812081082931692,-0.04025854372187228,-0.01140404474935159,0.56695474766254,0.3550953569524251,-0.11809188919139954,-0.1526827785317067,0.0002287943775046708,-0.002017882489062872,-0.3446991771709107,0.0002928533505268671
